number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
454,3,650,2127.5,1880.8791208791208,0.9712000000000032
455,1,700,2062.5,1878.2894736842106,0.9710000000000032
456,2,450,1999.5,1875.164113785558,0.9708000000000032
457,2,900,1941.5,1873.0349344978165,0.9706000000000032
458,1,200,1943.0,1869.3899782135077,0.9704000000000033
459,1,550,1953.0,1866.5217391304348,0.9702000000000033
460,3,-150,1936.5,1862.1475054229934,0.9700000000000033
461,0,6900,1995.0,1873.051948051948,0.9698000000000033
462,1,900,1932.0,1870.950323974082,0.9696000000000033
463,1,150,1928.0,1867.2413793103449,0.9694000000000034
464,1,700,1865.5,1864.731182795699,0.9692000000000034
465,1,350,1800.5,1861.480686695279,0.9690000000000034
466,1,200,1730.0,1857.9229122055674,0.9688000000000034
467,2,450,1738.0,1854.91452991453,0.9686000000000035
468,1,50,1741.5,1851.0660980810235,0.9684000000000035
469,1,500,1739.0,1848.1914893617022,0.9682000000000035
470,3,500,1686.0,1845.3290870488322,0.9680000000000035
471,3,450,1682.5,1842.3728813559321,0.9678000000000035
472,2,250,1683.5,1839.0063424947145,0.9676000000000036
473,0,6300,1735.5,1848.4177215189873,0.9674000000000036
474,1,850,1733.0,1846.3157894736842,0.9672000000000036
475,0,7900,1804.5,1859.0336134453783,0.9670000000000036
476,1,1050,1750.0,1857.3375262054508,0.9668000000000037
477,3,250,1752.5,1853.9748953974895,0.9666000000000037
478,0,7000,1758.5,1864.7181628392484,0.9664000000000037
479,3,750,1694.0,1862.3958333333333,0.9662000000000037
480,1,650,1695.0,1859.8752598752599,0.9660000000000037
481,0,6450,1752.5,1869.3983402489628,0.9658000000000038
482,1,550,1767.0,1866.6666666666667,0.9656000000000038
483,0,6950,1827.0,1877.1694214876034,0.9654000000000038
484,0,7200,1894.0,1888.1443298969073,0.9652000000000038
485,3,150,1896.0,1884.567901234568,0.9650000000000039
486,2,650,1892.0,1882.0328542094455,0.9648000000000039
487,2,-550,1826.0,1877.049180327869,0.9646000000000039
488,3,700,1843.5,1874.642126789366,0.9644000000000039
